編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
7832,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區港新三路３３號十五樓之５,15.32,商,,,11203,十五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110216,1,75.58,3,2,2,有,有,25500,337,坡道平面,31.19,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7833,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１３８號樓之２,14.4,住,,,11206,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,64.61,2,2,2,有,有,22000,341,坡道平面,0,0,,2(資料揭露)
7834,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區中山路１９之１號４樓之１,7354.3,住,,,11207,四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101022,2,58,2,1,2,有,無,20000,345,坡道平面,0,0,,2(資料揭露)
7835,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區四維東路４８２號,15.32,商,,,11202,一層,15,店面(店鋪),店舖,鋼筋混凝土造,1110216,1,61.51,0,0,0,無,有,22756,370,,0,0,含營業設備。;,2(資料揭露)
7836,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１３６號１１樓之２,10.2,住,,,11206,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,45.6,2,1,1,有,無,17000,373,坡道平面,0,0,,2(資料揭露)
7837,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區港新三路３５號六樓之１,15.37,商,,,11201,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110216,1,66.89,3,2,2,有,無,25000,374,坡道平面,31.19,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7838,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區港新三路３５號十一樓之１,15.37,商,,,11201,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110216,1,66.89,3,2,2,有,有,26000,389,坡道平面,31.19,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7839,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區文化路１７２號,77.28,住,,,11202,二層,4,套房(1房1廳1衛),人行道、店舖、住宅、机電設備室、梯間,鋼筋混凝土造,900629,22,10,1,0,1,有,無,4000,400,,0,0,,2(資料揭露)
7840,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區文昌路１號,78,住,,,11203,三層,3,套房(1房1廳1衛),住家用,水泥平頂、磨石地床、鋼筋混凝土造,621231,49,13,1,0,1,有,無,5500,423,,0,0,,2(資料揭露)
7841,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區文昌街１號,78,住,,,11207,三層,3,套房(1房1廳1衛),住家用,水泥平頂、磨石地床、鋼筋混凝土造,621231,50,13,1,0,1,有,無,5500,423,,0,0,,2(資料揭露)
7842,387000000A,66000,66000000,清水區,租賃房屋,臺中市清水區文昌街１號,78,住,,,11208,二層,3,其他,住家用,水泥平頂、磨石地床、鋼筋混凝土造,621231,50,10,1,0,1,有,無,4800,480,,0,0,,2(資料揭露)
7843,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２６號１１樓之７,10.85,住,,,11207,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,48.61,2,2,1,有,無,27000,555,坡道平面,0,0,,2(資料揭露)
7844,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區民安路２５１號,465,住,,,11206,見其他登記事項,1,工廠,商業用,鋼骨造,890601,23,90,0,0,0,無,無,63000,,,0,0,含增建或未登記建物。;,2(資料揭露)
7845,387000000A,66000,66000000,清水區,土地,紫雲段343地號,18,住,,,11208,,,其他,,,,0,0,0,0,0,無,無,15000,833,,0,0,有放置貨櫃屋,5(揭露且明細顯示備註)
7846,387000000A,66000,66000000,沙鹿區,房地(土地+建物),臺中市沙鹿區大同街２５巷５之２號,54.55,住,,,11208,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771201,35,220.13,4,2,1,有,無,10000,45,,0,0,社會住宅計劃案件,5(揭露且明細顯示備註)
